date,province,kabupaten,hotspot_count
2001-01,JAWA TIMUR,LUMAJANG,1
2001-01,SULAWESI SELATAN,LUWU TIMUR,4
2001-01,JAWA TENGAH,MAGELANG,1
2001-01,KALIMANTAN TIMUR,PASER,1
2001-01,RIAU,PELALAWAN,1
2001-01,SUMATERA BARAT,PESISIR SELATAN,1
2001-02,JAWA TENGAH,BOYOLALI,3
2001-02,RIAU,INDRAGIRI HILIR,57
2001-02,RIAU,INDRAGIRI HULU,6
2001-02,RIAU,KOTA DUMAI,3
2001-02,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,3
2001-02,KALIMANTAN BARAT,KUBURAYA,1
2001-02,KALIMANTAN TIMUR,KUTAI KARTANEGARA,1
2001-02,SULAWESI SELATAN,LUWU TIMUR,1
2001-02,JAWA TENGAH,MAGELANG,1
2001-02,JAMBI,MERANGIN,1
2001-02,RIAU,PELALAWAN,4
2001-02,SUMATERA BARAT,SIJUNJUNG,1
2001-02,DI YOGYAKARTA,SLEMAN,3
2001-02,JAMBI,TANJUNG JABUNG TIMUR,3
2001-02,SULAWESI SELATAN,WAJO,1
2001-03,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1
2001-03,RIAU,BENGKALIS,4
2001-03,JAWA TENGAH,BOYOLALI,3
2001-03,RIAU,INDRAGIRI HILIR,148
2001-03,RIAU,INDRAGIRI HULU,2
2001-03,RIAU,KAMPAR,5
2001-03,MALUKU UTARA,KEPULAUAN SULA,1
2001-03,KALIMANTAN BARAT,KETAPANG,1
2001-03,RIAU,KOTA DUMAI,3
2001-03,RIAU,KUANTAN SENGINGI,4
2001-03,KALIMANTAN TIMUR,KUTAI KARTANEGARA,2
2001-03,SUMATERA UTARA,LABUHANBATU SELATAN,1
2001-03,SULAWESI SELATAN,LUWU TIMUR,7
2001-03,JAWA TENGAH,MAGELANG,2
2001-03,JAWA TIMUR,MALANG,1
2001-03,KALIMANTAN BARAT,MEMPAWAH,1
2001-03,ACEH,NAGAN RAYA,2
2001-03,SUMATERA UTARA,PADANG LAWAS,2
2001-03,SUMATERA UTARA,PADANG LAWAS UTARA,44
2001-03,RIAU,PELALAWAN,8
2001-03,RIAU,ROKAN HILIR,5
2001-03,RIAU,ROKAN HULU,11
2001-03,RIAU,SIAK,2
2001-03,DI YOGYAKARTA,SLEMAN,1
2001-03,JAMBI,TANJUNG JABUNG TIMUR,3
2001-03,SULAWESI SELATAN,WAJO,1
2001-04,KALIMANTAN TENGAH,BARITO TIMUR,1
2001-04,JAWA TENGAH,BOYOLALI,3
2001-04,RIAU,KAMPAR,1
2001-04,SULAWESI UTARA,KEPULAUAN SIAU TAGULANDANG BIARO,2
