date,province,hotspot_count
2001-01,JAWA TENGAH,1
2001-01,JAWA TIMUR,1
2001-01,KALIMANTAN TIMUR,1
2001-01,RIAU,1
2001-01,SULAWESI SELATAN,4
2001-01,SUMATERA BARAT,1
2001-02,DI YOGYAKARTA,3
2001-02,JAMBI,4
2001-02,JAWA TENGAH,4
2001-02,KALIMANTAN BARAT,1
2001-02,KALIMANTAN TENGAH,3
2001-02,KALIMANTAN TIMUR,1
2001-02,RIAU,70
2001-02,SULAWESI SELATAN,2
2001-02,SUMATERA BARAT,1
2001-03,ACEH,2
2001-03,JAMBI,3
2001-03,JAWA TENGAH,6
2001-03,JAWA TIMUR,1
2001-03,KALIMANTAN BARAT,2
2001-03,KALIMANTAN TIMUR,2
2001-03,KEPULAUAN BANGKA BELITUNG,1
2001-03,MALUKU UTARA,1
2001-03,RIAU,194
2001-03,SULAWESI SELATAN,8
2001-03,SUMATERA UTARA,45
2001-04,BANTEN,1
2001-04,DI YOGYAKARTA,3
2001-04,JAWA TENGAH,6
2001-04,JAWA TIMUR,3
2001-04,KALIMANTAN TENGAH,1
2001-04,LAMPUNG,1
2001-04,RIAU,2
2001-04,SULAWESI SELATAN,7
2001-04,SULAWESI UTARA,2
2001-05,ACEH,2
2001-05,BENGKULU,1
2001-05,DI YOGYAKARTA,4
2001-05,JAMBI,7
2001-05,JAWA TENGAH,19
2001-05,JAWA TIMUR,5
2001-05,KALIMANTAN BARAT,1
2001-05,KALIMANTAN TENGAH,4
2001-05,LAMPUNG,1
2001-05,NUSA TENGGARA TIMUR,3
2001-05,PAPUA BARAT,1
2001-05,PAPUA SELATAN,1
2001-05,RIAU,9
2001-05,SULAWESI SELATAN,9
2001-05,SULAWESI TENGGARA,1
2001-05,SULAWESI UTARA,4
2001-05,SUMATERA SELATAN,1
2001-05,SUMATERA UTARA,12
2001-06,JAMBI,1
2001-06,JAWA TENGAH,4
2001-06,KEPULAUAN RIAU,1
2001-06,LAMPUNG,3
2001-06,NUSA TENGGARA TIMUR,1
2001-06,RIAU,1
2001-06,SULAWESI SELATAN,11
2001-06,SULAWESI UTARA,3
2001-06,SUMATERA UTARA,13
2001-07,ACEH,11
2001-07,BANTEN,1
2001-07,BENGKULU,7
2001-07,DI YOGYAKARTA,1
2001-07,JAMBI,25
2001-07,JAWA BARAT,1
